item,itemLabel
http://www.wikidata.org/entity/Q12908,George Soros
http://www.wikidata.org/entity/Q13021,Vinoba Bhave
http://www.wikidata.org/entity/Q13515,Frédéric Bastiat
http://www.wikidata.org/entity/Q13529,Alfred Marshall
http://www.wikidata.org/entity/Q13575,François Quesnay
http://www.wikidata.org/entity/Q14678,Dietrich von Hildebrand
http://www.wikidata.org/entity/Q15189,Paul I of Russia
http://www.wikidata.org/entity/Q15474,"Sir William Hamilton, 9th Baronet"
http://www.wikidata.org/entity/Q15572,Johann Baptist von Spix
http://www.wikidata.org/entity/Q15948,Émile Durkheim
http://www.wikidata.org/entity/Q60208,Karl Korsch
http://www.wikidata.org/entity/Q60285,Ernst Troeltsch
http://www.wikidata.org/entity/Q60582,Thomas Abbt
http://www.wikidata.org/entity/Q60837,John Austin
http://www.wikidata.org/entity/Q60884,Günther Anders
http://www.wikidata.org/entity/Q60887,Jeremy Bentham
http://www.wikidata.org/entity/Q61078,Walter Benjamin
http://www.wikidata.org/entity/Q61189,Hans Blumenberg
http://www.wikidata.org/entity/Q61628,Eugen Fink
http://www.wikidata.org/entity/Q61956,Lorenz von Stein
http://www.wikidata.org/entity/Q61980,Abd-ru-shin
http://www.wikidata.org/entity/Q61981,Wilhelm Worringer
http://www.wikidata.org/entity/Q62744,yin and yan
http://www.wikidata.org/entity/Q62831,Ludwig Büchner
http://www.wikidata.org/entity/Q63630,Odo Marquard
http://www.wikidata.org/entity/Q65075,Otto Liebmann
http://www.wikidata.org/entity/Q65181,Leonard Nelson
http://www.wikidata.org/entity/Q65861,Erich Adickes
http://www.wikidata.org/entity/Q66732,Eugen Rosenstock-Huessy
http://www.wikidata.org/entity/Q67007,Thomas Metzinger
http://www.wikidata.org/entity/Q67306,Otto Friedrich Bollnow
http://www.wikidata.org/entity/Q69547,Friedrich Ludewig Bouterwek
http://www.wikidata.org/entity/Q70867,Kurt Riezler
http://www.wikidata.org/entity/Q71442,Johann Jakob Engel
http://www.wikidata.org/entity/Q71855,Georg Bernhard Bilfinger
http://www.wikidata.org/entity/Q71911,Dietrich Georg von Kieser
http://www.wikidata.org/entity/Q72086,Narziß Ach
http://www.wikidata.org/entity/Q72100,Georg Klaus
http://www.wikidata.org/entity/Q73356,Robert Todd Carroll
http://www.wikidata.org/entity/Q73527,Arcesilaus
http://www.wikidata.org/entity/Q75812,Norbert Elias
http://www.wikidata.org/entity/Q76356,Hans-Georg Gadamer
http://www.wikidata.org/entity/Q76357,Jürgen Habermas
http://www.wikidata.org/entity/Q76504,Paul Natorp
http://www.wikidata.org/entity/Q76509,Karl Jaspers
http://www.wikidata.org/entity/Q76510,Christian Wolff
http://www.wikidata.org/entity/Q76513,Karl Vogt
http://www.wikidata.org/entity/Q76516,Richard Avenarius
http://www.wikidata.org/entity/Q76517,Alexander Gottlieb Baumgarten
http://www.wikidata.org/entity/Q76519,Rudolf Carnap
http://www.wikidata.org/entity/Q76522,Helmuth Plessner
http://www.wikidata.org/entity/Q76571,Emil du Bois-Reymond
http://www.wikidata.org/entity/Q76583,Eugen Dühring
http://www.wikidata.org/entity/Q76586,Karl Kautsky
http://www.wikidata.org/entity/Q76709,Hermann Cohen
http://www.wikidata.org/entity/Q76725,Max Stirner
http://www.wikidata.org/entity/Q76727,Ernst Jünger
http://www.wikidata.org/entity/Q76749,Edith Stein
http://www.wikidata.org/entity/Q76823,Karl Mannheim
http://www.wikidata.org/entity/Q76826,Max Horkheimer
http://www.wikidata.org/entity/Q76849,Georg Simmel
http://www.wikidata.org/entity/Q77012,Heinrich Rickert
